Award Name,Award Number,year_of_award,Name,Nationality,Birthplace,date_of_birth,Anscestry,Faith,sexual_orientation,Movie,movie_genre,movie_type,IMDB_rate,RottenTomatoesCritics_rate,RottenTomatoesPublic_rate
Best Actress,42,1969,Maggie Smith,English,England,28-Dec-1934,European,Na,Straight,The Prime of Miss Jean Brodie,Drama,film,7.6,0.88,0.84
Best Actor,42,1969,John Wayne,American,US,26-May-1907,European,Protestant,Straight,True Grit,Western,film,7.5,0.88,0.83
Best Director,43,1970,Franklin J. Schaffner,American,Japan,30-May-1920,European,Na,Straight,Patton,Epic-biographical war drama,film,8.0,0.95,0.93
Best Actress,43,1970,Glenda Jackson,British,England,9-May-1936,European,Na,Straight,Women in Love,Romantic drama,film,7.5,0.88,0.76
Best Actor,43,1970,George C. Scott,American,US,18-Oct-1927,European,Na,Straight,Patton,Epic-biographical war drama,film,8.0,0.95,0.93
Best Director,44,1971,William Friedkin,American,US,29-Aug-1935,European,Agnostic,Straight,The French Connection,Crime Thriller drama,film,7.8,0.98,0.87
Best Actress,44,1971,Jane Fonda,American,US,21-Dec-1937,European,Roman Catholic,Straight,Klute,Noir,film,7.2,0.93,0.80
Best Actor,44,1971,Gene Hackman,American,US,30-Jan-1930,European,Na,Straight,The French Connection,Crime Thriller drama,film,7.8,0.98,0.87
Best Director,45,1972,Bob Fosse,American,US,23-Jun-1927,European,Na,Straight,Cabaret,Drama,film,7.8,0.95,0.87
Best Actress,45,1972,Liza Minnelli,American,US,12-Mar-1946,European,Protestant,Na,Cabaret,Drama,musical,7.8,0.95,0.87
Best Actor,45,1972,Marlon Brando,American,US,3-Apr-1924,European,Deist,Bisexual,The Godfather,Crime drama,film,9.0,0.97,0.97
Best Director,46,1973,George Roy Hill,American,US,20-Dec-1921,European,Roman Catholic,Straight,The Sting,Caper,film,8.3,0.00,0.28
Best Actress,46,1973,Glenda Jackson,British,England,9-May-1936,European,Na,Straight,A Touch of Class,Romantic comedy,film,6.5,0.91,0.65
Best Actor,46,1973,Jack Lemmon,American,US,8-Feb-1925,European,Roman Catholic,Straight,Save the Tiger,Drama,film,6.9,0.83,0.74
Best Director,47,1974,Francis Ford Coppola,American,US,7-Apr-1939,European,Na,Straight,The Godfather Part II,Crime drama,film,9.0,0.97,0.97
Best Actress,47,1974,Ellen Burstyn,American,US,7-Dec-1932,European,Sufism,Straight,Alice Doesn't Live Here Anymore,Romantic comedy,film,7.4,0.88,0.82
Best Actor,47,1974,Art Carney,American,US,4-Nov-1918,European,Roman Catholic,Straight,Harry and Tonto,road movie,film,7.4,0.88,0.82
Best Director,48,1975,Milos Forman,Czech,Czechoslovakia,18-Feb1932,European,Na,Straight,One Flew over the Cuckoo's Nest,Comedy drama,film,8.7,0.94,0.96
Best Actress,48,1975,Louise Fletcher,American,US,22-Jul-1934,European,Protestant,Straight,One Flew Over the Cuckoo's Nest,Comedy drama,film,8.7,0.94,0.96
Best Actor,48,1975,Jack Nicholson,American,US,22-Apr-1937,European,Atheist,Straight,One Flew Over the Cuckoo's Nest,Comedy drama,film,8.7,0.94,0.96
Best Director,49,1976,John G. Avildsen,American,US,21-Dec-1935,European,Na,Straight,Rocky,Drama,film,8.1,0.93,0.69
Best Actress,49,1976,Faye Dunaway,American,US,14-Jan-1941,European,Roman Catholic,Straight,Network,Satirical,film,8.1,0.92,0.93
Best Actor,49,1976,Peter Finch,English,England,28-Sep-1916,European,Budhist,Straight,Network,Satirical,film,8.1,0.92,0.93
Best Director,50,1977,Woody Allen,American,US,1-Dec1935,European,Jewish,Straight,Annie Hall,Romantic comedy,film,8.0,0.97,0.92
Best Actress,50,1977,Diane Keaton,American,US,5-Jan-1946,European,Atheist,Straight,Annie Hall,Romantic comedy,film,8.0,0.97,0.92
Best Actor,50,1977,Richard Dreyfuss,American,US,29-Oct-1947,European,Agnostic,Straight,The Goodbye Girl,Romantic Comedy,film,7.4,0.88,0.84
Best Director,51,1978,Michael Cimino,American,US,3-Feb-1939,European,Na,Straight,The Deer Hunter,Epic war drama,film,8.1,0.94,0.92
Best Actress,51,1978,Jane Fonda,American,US,21-Dec-1937,European,Roman Catholic,Straight,Coming Home,Drama,film,7.3,0.81,0.82
Best Actor,51,1978,Jon Voight,American,US,29-Dec-1938,European,Roman Catholic,Straight,Coming Home,Drama,film,7.3,0.81,0.82
Best Director,52,1979,Robert Benton,American,US,29-Sep-1932,European,Na,Straight,Kramer vs. Kramer,family legal drama,film,7.8,0.91,0.39
Best Actress,52,1979,Sally Field,American,US,6-Nov-1946,European,Na,Straight,Norma Rae,Drama,film,7.4,0.88,0.79
Best Actor,52,1979,Dustin Hoffman,American,US,8-Aug-1937,European,Jewish,Straight,Kramer vs. Kramer,family legal drama,film,7.8,0.91,0.39
Best Director,53,1980,Robert Redford,American,US,18-Au-1936,European,Na,Straight,Ordinary People,Drama,film,7.8,0.90,0.88
Best Actress,53,1980,Sissy Spacek,American,US,25-Dec-1949,European,Na,Straight,Coal Miner's Daughter,Biographic,musical,7.5,0.88,0.86
Best Actor,53,1980,Robert De Niro,American,US,17-Aug-1943,European,Na,Straight,Raging Bull,biographical drama,film,8.2,0.95,0.93
Best Director,54,1981,Warren Beatty,American,US,30-Mar-1937,European,Baptist,Straight,Reds,Epic historical,film,7.4,0.92,0.82
Best Actress,54,1981,Katharine Hepburn,American,US,12-May-1907,European,Atheist,Bisexual,On Golden Pond,Drama,film,7.7,0.92,0.87
Best Actor,54,1981,Henry Fonda,American,US,16-May-1905,European,Agnostic,Straight,On Golden Pond,Drama,film,7.7,0.92,0.87
Best Director,55,1982,Richard Attenborough,English,England,29-Aug-1923,European,Na,Straight,Gandhi,epic historical drama,film,8.1,0.85,0.92
Best Actress,55,1982,Meryl Streep,American,US,22-Jun-1949,European,Na,Straight,Sophie's Choice,Drama,film,7.6,0.77,0.85
Best Actor,55,1982,Ben Kingsley,English,England,31-Dec-1943,Multiracial,Na,Straight,Gandhi,epic historical drama,film,8.1,0.85,0.92
Best Director,56,1983,James L. Brooks,American,US,9-May-1940,European,Na,Straight,Terms of Endearment,Comedy drama,film,7.4,0.88,0.83
Best Actress,56,1983,Shirley MacLaine,American,US,24-Apr-1934,European,Metaphysic,Straight,Terms of Endearment,Comedy drama,film,7.4,0.88,0.83
Best Actor,56,1983,Robert Duvall,American,US,5-Jan-1931,European,Na,Straight,Tender Mercies,Drama,film,7.4,0.86,0.82
Best Director,57,1984,Milos Forman,Czech,Czechoslovakia,18-Feb-32,European,Na,Straight,Amadeus,Period drama,film,8.3,0.94,0.95
Best Actress,57,1984,Sally Field,American,US,6-Nov-1946,European,Na,Straight,Places in the Heart,Drama,film,7.3,0.96,0.83
Best Actor,57,1984,F. Murray Abraham,American,US,24-Oct-1939,Middle Eastern,Protestant,Straight,Amadeus,Period drama,film,8.3,0.94,0.95
Best Director,58,1985,Sydney Pollack,American,US,1-Jul-1934,European,Jewish,Straight,Out of Africa,Romantic drama,film,7.2,0.60,0.83,5
Best Actress,58,1985,Geraldine Page,American,US,22-Nov-1924,European,Protestant,Straight,The Trip to Bountiful,Drama,film,7.6,1.00,0.85
Best Actor,58,1985,William Hurt,American,US,20-Mar-1950,European,Protestant,Straight,Kiss of the Spider Woman,Drama,film,7.4,0.85,0.81
Best Director,59,1986,Oliver Stone,American,US,15-Sep-1946,European,Atheist/buddhist,Straight,Platoon,Anti-war,film,8.1,0.88,0.93
Best Actress,59,1986,Marlee Matlin,American,US,24-Aug-1965,European,Jewish,Straight,Children of a Lesser God,Romantic drama,film,7.2,0.81,0.78
Best Actor,59,1986,Paul Newman,American,US,26-Jan-1925,European,Jewish,Straight,The Color of Money,Drama,film,7.0,0.89,0.73
Best Director,60,1987,Bernardo Bertolucci,Italian,Italy,16-Mar-1941,European,Atheist,Straight,The Last Emperor,Epic-biographical,film,7.8,0.92,0.88
Best Actress,60,1987,Cher,American,US,20-May-1946,European,Na,Na,Moonstruck,Romantic comedy,film,7.1,0.93,0.80
Best Actor,60,1987,Michael Douglas,American,US,25-Sep-1944,European,Jewish,Straight,Wall Street,Drama,film,7.4,0.78,0.81
Best Director,61,1988,Barry Levinson,American,US,6-Apr-1942,European,Jewish,Straight,Rain Man,Comedy /road movie,film,8.0,0.89,0.90
Best Actress,61,1988,Jodie Foster,American,US,19-Nov-1962,European,Atheist,Gay,The Accused,legal drama,film,7.1,0.95,0.79
